Genre,Word,Frequency
Action,the,2689
Action,and,1242
Action,his,734
Action,with,415
Action,for,313
Action,that,297
Action,who,284
Action,when,261
Action,their,246
Action,from,234
Adventure,the,1979
Adventure,and,926
Adventure,his,504
Adventure,with,289
Adventure,that,210
Adventure,their,188
Adventure,for,186
Adventure,from,178
Adventure,her,171
Adventure,who,161
Animation,the,659
Animation,and,359
Animation,his,148
Animation,with,104
Animation,their,75
Animation,when,74
Animation,that,72
Animation,for,57
Animation,they,55
Animation,world,54
Comedy,the,3170
Comedy,and,1904
Comedy,his,1017
Comedy,with,682
Comedy,her,558
Comedy,for,530
Comedy,their,473
Comedy,when,452
Comedy,that,435
Comedy,who,391
Crime,the,1294
Crime,and,721
Crime,his,435
Crime,with,229
Crime,that,182
Crime,for,181
Crime,when,166
Crime,who,160
Crime,her,151
Crime,their,140
Documentary,the,261
Documentary,and,136
Documentary,his,50
Documentary,who,32
Documentary,from,31
Documentary,with,30
Documentary,for,24
Documentary,that,23
Documentary,her,22
Documentary,they,20
Drama,the,4470
Drama,and,2549
Drama,his,1515
Drama,her,907
Drama,with,875
Drama,for,627
Drama,that,549
Drama,who,538
Drama,their,502
Drama,life,485
Family,the,1313
Family,and,705
Family,his,332
Family,with,238
Family,her,156
Family,when,153
Family,their,152
Family,that,144
Family,for,138
Family,from,122
Fantasy,the,971
Fantasy,and,481
Fantasy,his,258
Fantasy,with,167
Fantasy,her,114
Fantasy,that,112
Fantasy,who,109
Fantasy,from,99
Fantasy,for,96
Fantasy,when,88
Fiction,the,1381
Fiction,and,568
Fiction,his,251
Fiction,with,183
Fiction,that,146
Fiction,for,140
Fiction,their,139
Fiction,from,135
Fiction,when,117
Fiction,who,109
Foreign,the,76
Foreign,and,38
Foreign,with,21
Foreign,his,20
Foreign,her,14
Foreign,from,11
Foreign,family,9
Foreign,for,9
Foreign,him,9
Foreign,film,8
History,the,580
History,and,227
History,his,112
History,with,68
History,for,51
History,her,46
History,their,43
History,from,42
History,who,40
History,war,39
Horror,the,1048
Horror,and,483
Horror,his,206
Horror,her,203
Horror,with,167
Horror,that,151
Horror,for,127
Horror,their,122
Horror,they,111
Horror,when,106
Movie,the,36
Movie,and,23
Movie,his,10
Movie,their,9
Movie,for,8
Movie,with,6
Movie,they,5
Movie,her,4
Movie,eduardo,4
Movie,when,4
Music,the,344
Music,and,213
Music,his,88
Music,with,75
Music,her,71
Music,from,49
Music,life,43
Music,for,43
Music,their,37
Music,when,32
Mystery,the,635
Mystery,and,330
Mystery,his,168
Mystery,that,115
Mystery,with,108
Mystery,her,106
Mystery,for,76
Mystery,when,76
Mystery,their,73
Mystery,who,71
Romance,the,1566
Romance,and,1022
Romance,his,554
Romance,her,472
Romance,with,408
Romance,for,289
Romance,who,227
Romance,that,222
Romance,when,216
Romance,life,210
Science,the,1381
Science,and,568
Science,his,251
Science,with,183
Science,that,146
Science,for,140
Science,their,139
Science,from,135
Science,when,117
Science,who,109
TV,the,36
TV,and,23
TV,his,10
TV,their,9
TV,for,8
TV,with,6
TV,they,5
TV,her,4
TV,eduardo,4
TV,when,4
Thriller,the,2479
Thriller,and,1223
Thriller,his,702
Thriller,with,398
Thriller,her,336
Thriller,that,327
Thriller,for,311
Thriller,who,282
Thriller,when,280
Thriller,their,255
War,the,363
War,and,133
War,his,68
War,war,53
War,with,43
War,during,33
War,their,32
War,for,30
War,from,29
War,world,28
Western,the,192
Western,and,95
Western,his,47
Western,with,29
Western,who,28
Western,their,28
Western,for,24
Western,her,22
Western,when,18
Western,town,17
